Titulo;Genero;Linguagens;Categoria;Disponibilidade_Geografica;Duracao;IMDb_Score;Rotten_Tomatoes_Score;Metacritic_Score;Premios_Recebidos;Premios_Indicados;Receita_Bilheteria;Data_Lancamento_Netflix;Total_Score
The Hole in the Ground;Drama;English;Movie;1;1-2 hour;5.6;8.3;6.3;2.0;17.0;1;2019-12-01;6.733333333333333
A Private War;Biography;English;Movie;2;1-2 hour;6.7;8.8;7.5;1.0;9.0;1;2019-12-01;7.666666666666667
12 Strong;Action;English, Dari, Russian, Spanish, Uzbek;Movie;14;> 2 hrs;6.6;5.0;5.4;0.0;3.0;1;2019-12-01;5.666666666666667
The Long Kiss Goodnight;Action;English;Movie;4;> 2 hrs;6.8;7.0;4.4;0.0;3.0;1;2019-12-01;6.066666666666666
Arctic Dogs;Animation;English, Korean;Movie;8;1-2 hour;4.7;1.3;2.8;0.0;1.0;1;2019-11-29;2.9333333333333336
I Lost My Body;Animation;French;Movie;33;1-2 hour;7.6;9.6;8.1;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-11-29;8.433333333333332
Gods Little Village;Crime;Portuguese;Movie;1;1-2 hour;8.6;9.1;7.9;3.609665427509294;6.350078492935636;1;2019-11-29;8.533333333333333
Dragged Across Concrete;Action;English, Spanish;Movie;1;> 2 hrs;6.9;7.6;6.0;0.0;5.0;NAO_DEFINIDO;2019-11-29;6.833333333333333
The Island;Comedy;Mandarin, English, French, Japanese, German, Spanish;Movie;32;1-2 hour;6.3;10.0;6.1;7.0;13.0;1;2019-11-29;7.466666666666666
The LEGO Movie 2: The Second Part;Animation;English;Movie;6;1-2 hour;6.6;8.4;6.5;1.0;12.0;2;2019-11-28;7.166666666666667
Ruben Brandt, Collector;Animation;English, Hungarian, Italian;Movie;10;1-2 hour;7.5;8.2;7.5;2.0;6.0;1;2019-11-28;7.733333333333333
The Body Remembers When the World Broke Open;Drama;English;Movie;3;1-2 hour;6.9;9.7;8.7;3.609665427509294;12.0;NAO_DEFINIDO;2019-11-27;8.433333333333332
The Irishman;Biography;English, Italian, Latin, Spanish, German;Movie;33;> 2 hrs;7.9;9.5;9.4;3.609665427509294;6.350078492935636;NAO_DEFINIDO;2019-11-27;8.933333333333334
Welcome to Marwen;Biography;English, German, French, Russian;Movie;13;1-2 hour;6.2;3.4;4.0;2.0;8.0;1;2019-11-23;4.533333333333333
How to Train Your Dragon: The Hidden World;Animation;English;Movie;10;1-2 hour;7.5;9.0;7.1;5.0;6.350078492935636;2;2019-11-23;7.866666666666667
Marie Curie: The Courage of Knowledge;Biography;French, German, English, Polish;Movie;1;1-2 hour;5.5;6.5;4.9;3.0;8.0;1;2019-11-22;5.633333333333333
Brightburn;Drama;English;Movie;9;1-2 hour;6.1;5.8;4.4;1.0;2.0;1;2019-11-22;5.433333333333334
The Longest Yard;Comedy;English;Movie;2;> 2 hrs;7.1;7.9;6.1;2.0;4.0;1;2019-11-20;7.033333333333334
The Fanatic;Crime;English;Movie;1;1-2 hour;4.1;1.6;1.8;2.0;2.0;NAO_DEFINIDO;2019-11-15;2.5
Diego Maradona;Documentary;Spanish, Italian, English, French, Portuguese, Catalan;Movie;2;> 2 hrs;7.7;9.0;7.8;1.0;13.0;NAO_DEFINIDO;2019-11-15;8.166666666666666
Im with the Band: Nasty Cherry;Action;English, Sanskrit;Series;36;< 30 minutes;6.5;5.2;5.1;3.609665427509294;6.350078492935636;1;2019-11-15;5.6000000000000005
Earthquake Bird;Crime;English, Japanese;Movie;36;1-2 hour;5.9;5.0;5.1;0.0;0.0;NAO_DEFINIDO;2019-11-15;5.333333333333333
Loners;Comedy;Czech;Movie;1;1-2 hour;7.5;9.3;3.3;10.0;12.0;NAO_DEFINIDO;2019-11-15;6.7
A Bride for Rip Van Winkle;Drama;Japanese;Movie;1;> 2 hrs;7.2;7.5;5.6;2.0;6.0;NAO_DEFINIDO;2019-11-15;6.766666666666667
Papi Chulo;Comedy;English;Movie;1;1-2 hour;6.5;7.6;4.2;1.0;3.0;1;2019-11-11;6.099999999999999
Beauty in Trouble;Comedy;Czech;Movie;1;1-2 hour;6.8;8.6;7.5;6.0;6.0;1;2019-11-10;7.633333333333333
Fifty Shades Freed;Drama;English;Movie;8;1-2 hour;4.5;1.1;3.1;6.0;10.0;2;2019-11-10;2.9
Boy Erased;Biography;English;Movie;9;1-2 hour;6.9;8.1;6.9;11.0;6.350078492935636;1;2019-11-09;7.3
Let It Snow;Comedy;English;Movie;35;1-2 hour;5.8;8.1;5.1;0.0;1.0;NAO_DEFINIDO;2019-11-08;6.333333333333333
